Filename;newFilename;Path;Title;Text_English;Language ;Pictorial_verbopictorial;Name_of_the_creator;Longitude;Latitude;Additional_info;Mode_of_construction;Function;Channels_of_circulation
IMG00032.jpg;IMG00032_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00032.jpg"" />";Capitalism!;Dear Capitalism, it's not you, it's me. Just kidding, It's you. It's over.;EN;verbopictorial;Lotek;23.72667; 37.98585;;stencil;social;public wall
IMG00033.jpg;IMG00033_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00033.jpg"" />";Begging!;Spare some time?;EN;verbopictorial;EXIT;23.71272; 37.97997;;spraypaint / marker pen;social, political;public wall
IMG00034.jpg;IMG00034_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00034.jpg"" />";Joking!;All you need is joke;EN;verbopictorial;WD;23.73562; 37.98648;Graffiti resulting from the signed series WD, All you need is joke, with the smile inspired of the character of Joker, the enemy of Batman.;spraypaint / marker pen;social, political;public wall
IMG00035.jpg;IMG00035_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00035.jpg"" />";Immigrants;;;pictorial;EXIT;23.71918; 37.98412;;spraypaint / marker pen;social, political;public wall
IMG00036.jpg;IMG00036_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00036.jpg"" />";Crying;Why are you crying?;FR;verbopictorial;Refur;23.71918; 37.98412;;spraypaint / marker pen;social, political;public wall
IMG00037.jpg;IMG00037_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00037.jpg"" />";Bash it;Bash it;EN;verbopictorial;Unknown;23.73140; 37.98208;A critical stance on mass media. During mass demonstrations the protesters criticize mass media such as the television. Television will not be revolutionized or bash it.;stencil;social, political;public wall
IMG00038.jpg;IMG00038_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00038.jpg"" />";Happy end;Happy end;EN;verbopictorial;WD;23.72496; 37.97716;;paste-up, sticker;social, political;public wall
IMG00039.jpg;IMG00039_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00039.jpg"" />";The mind on the bike;Where is my mind?;EN;verbopictorial;Unknown;23.72644; 37.97357;;stencil;social, political;public wall
IMG00040.jpg;IMG00040_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00040.jpg"" />";; ;;pictorial;Unknown;23.73855; 37.98558;;sticker, marker pen;social, political;public wall
IMG00041.jpg;IMG00041_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00041.jpg"" />";Struggle; ;;pictorial;EXIT;23.71151; 37.98027;;spraypaint / marker pen;social, political;public wall
IMG00042.jpg;IMG00042_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00042.jpg"" />";Antifascism;Kill the fascist you have inside you;GR;verbopictorial;Unknown;23.73484; 37.98668;;spraypaint / marker pen;social, political;public wall
IMG00043.jpg;IMG00043_2015.jpg;"<img alt=""File"" src=""\\hta-staff01.uw.lu.se\arkivering$\ge7825st\GIS\Athens_2015\IMG00043.jpg"" />";Eurodisney;E-Disney;EN;pictorial;Unknown;23.72324; 37.97831;;stencil, marker pen;social, political;public wall
